,Manual,Planilha,PlanningApp
P2.1_Rapidez,1.6,3.066666666666667,4.6
P3.3_Prev_Erros,1.8,3.2666666666666666,4.4
P3.4_Seguro_Dados,2.6,2.7333333333333334,4.4
P3.5_Suporte_Facil,2.6666666666666665,3.3333333333333335,4.4
P3.6_Satisfacao_Geral,2.2666666666666666,2.933333333333333,4.466666666666667
P4.1_Alinhamento_BNCC,2.1333333333333333,3.2666666666666666,4.466666666666667
P4.2_Visao_Progresso,1.9333333333333333,3.3333333333333335,4.533333333333333
P4.3_Colaboracao,1.6666666666666667,3.1333333333333333,4.333333333333333
P6.3_Sentimento,,,
P6.4_Sentimento,,,
P6.5_Sentimento,,,
